,ClassId,Path
0,0,Train\0\00000_00000_00000.png
1,0,Train\0\00000_00000_00001.png
2,0,Train\0\00000_00000_00002.png
3,0,Train\0\00000_00000_00003.png
4,0,Train\0\00000_00000_00004.png
5,0,Train\0\00000_00000_00006.png
6,0,Train\0\00000_00000_00007.png
7,0,Train\0\00000_00000_00008.png
8,0,Train\0\00000_00000_00009.png
9,0,Train\0\00000_00000_00010.png
10,0,Train\0\00000_00000_00011.png
11,0,Train\0\00000_00000_00012.png
12,0,Train\0\00000_00000_00013.png
13,0,Train\0\00000_00000_00014.png
14,0,Train\0\00000_00000_00015.png
15,0,Train\0\00000_00000_00016.png
16,0,Train\0\00000_00000_00017.png
17,0,Train\0\00000_00000_00018.png
18,0,Train\0\00000_00000_00019.png
19,0,Train\0\00000_00000_00020.png
20,0,Train\0\00000_00000_00021.png
21,0,Train\0\00000_00000_00022.png
22,0,Train\0\00000_00000_00023.png
23,0,Train\0\00000_00000_00024.png
24,0,Train\0\00000_00000_00025.png
25,0,Train\0\00000_00000_00026.png
26,0,Train\0\00000_00000_00027.png
27,0,Train\0\00000_00000_00028.png
28,0,Train\0\00000_00000_00029.png
29,0,Train\0\00000_00001_00000.png
30,0,Train\0\00000_00001_00001.png
31,0,Train\0\00000_00001_00002.png
32,0,Train\0\00000_00001_00003.png
33,0,Train\0\00000_00001_00004.png
34,0,Train\0\00000_00001_00005.png
35,0,Train\0\00000_00001_00006.png
36,0,Train\0\00000_00001_00007.png
37,0,Train\0\00000_00001_00008.png
38,0,Train\0\00000_00001_00009.png
39,0,Train\0\00000_00001_00010.png
40,0,Train\0\00000_00001_00011.png
41,0,Train\0\00000_00001_00012.png
42,0,Train\0\00000_00001_00013.png
43,0,Train\0\00000_00001_00014.png
44,0,Train\0\00000_00001_00015.png
45,0,Train\0\00000_00001_00016.png
46,0,Train\0\00000_00001_00017.png
47,0,Train\0\00000_00001_00018.png
48,0,Train\0\00000_00001_00019.png
49,0,Train\0\00000_00001_00020.png
50,0,Train\0\00000_00001_00021.png
51,0,Train\0\00000_00001_00022.png
52,0,Train\0\00000_00001_00023.png
53,0,Train\0\00000_00001_00024.png
54,0,Train\0\00000_00001_00025.png
55,0,Train\0\00000_00001_00026.png
